"Any","Mes","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Poblacio_16_64_anys","Pes_atur"
2019,1,1,"Ciutat Vella",1,"el Raval",36405,"9.1"
2019,1,1,"Ciutat Vella",2,"el Barri Gòtic",15462,"5.8"
2019,1,1,"Ciutat Vella",3,"la Barceloneta",11337,"8.7"
2019,1,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",17710,"7.7"
2019,1,2,"Eixample",5,"el Fort Pienc",21844,"5.5"
2019,1,2,"Eixample",6,"la Sagrada Família",34705,"5.6"
2019,1,2,"Eixample",7,"la Dreta de l'Eixample",29350,"4.4"
2019,1,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",29117,"5.0"
2019,1,2,"Eixample",9,"la Nova Esquerra de l'Eixample",38455,"5.5"
2019,1,2,"Eixample",10,"Sant Antoni",25754,"6.0"
2019,1,3,"Sants-Montjuïc",11,"el Poble Sec",28836,"7.5"
2019,1,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",816,"12.1"
2019,1,3,"Sants-Montjuïc",13,"la Marina de Port",20506,"8.1"
2019,1,3,"Sants-Montjuïc",14,"la Font de la Guatlla",6897,"7.9"
2019,1,3,"Sants-Montjuïc",15,"Hostafrancs",11132,"6.1"
2019,1,3,"Sants-Montjuïc",16,"la Bordeta",12688,"6.3"
2019,1,3,"Sants-Montjuïc",17,"Sants - Badal",16163,"5.5"
2019,1,3,"Sants-Montjuïc",18,"Sants",28367,"5.8"
2019,1,4,"Les Corts",19,"les Corts",28471,"5.9"
2019,1,4,"Les Corts",20,"la Maternitat i Sant Ramon",14547,"6.0"
2019,1,4,"Les Corts",21,"Pedralbes",7025,"3.0"
2019,1,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",3121,"2.9"
2019,1,5,"Sarrià-Sant Gervasi",23,"Sarrià",14983,"3.1"
2019,1,5,"Sarrià-Sant Gervasi",24,"les Tres Torres",10066,"3.5"
2019,1,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",15861,"3.6"
2019,1,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",29773,"3.6"
2019,1,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",19029,"4.8"
2019,1,6,"Gràcia",28,"Vallcarca i els Penitents",9998,"5.9"
2019,1,6,"Gràcia",29,"el Coll",4950,"4.9"
2019,1,6,"Gràcia",30,"la Salut",8292,"6.2"
2019,1,6,"Gràcia",31,"la Vila de Gràcia",34941,"5.5"
2019,1,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",22614,"5.6"
2019,1,7,"Horta-Guinardó",33,"el Baix Guinardó",16570,"5.8"
2019,1,7,"Horta-Guinardó",34,"Can Baró",6031,"6.1"
2019,1,7,"Horta-Guinardó",35,"el Guinardó",24108,"6.4"
2019,1,7,"Horta-Guinardó",36,"la Font d'en Fargues",5794,"8.1"
2019,1,7,"Horta-Guinardó",37,"el Carmel",20567,"7.8"
2019,1,7,"Horta-Guinardó",38,"la Teixonera",7751,"6.5"
2019,1,7,"Horta-Guinardó",39,"Sant Genís dels Agudells",4555,"6.8"
2019,1,7,"Horta-Guinardó",40,"Montbau",3125,"7.2"
2019,1,7,"Horta-Guinardó",41,"la Vall d'Hebron",3500,"6.8"
2019,1,7,"Horta-Guinardó",42,"la Clota",479,"3.5"
2019,1,7,"Horta-Guinardó",43,"Horta",17002,"7.9"
2019,1,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",16192,"7.7"
2019,1,8,"Nou Barris",45,"Porta",16782,"7.2"
2019,1,8,"Nou Barris",46,"el Turó de la Peira",10172,"7.7"
2019,1,8,"Nou Barris",47,"Can Peguera",1406,"7.8"
2019,1,8,"Nou Barris",48,"la Guineueta",8971,"10.0"
2019,1,8,"Nou Barris",49,"Canyelles",4135,"10.6"
2019,1,8,"Nou Barris",50,"les Roquetes",10739,"8.8"
2019,1,8,"Nou Barris",51,"Verdun",8117,"9.0"
2019,1,8,"Nou Barris",52,"la Prosperitat",16606,"8.1"
2019,1,8,"Nou Barris",53,"la Trinitat Nova",5082,"12.4"
2019,1,8,"Nou Barris",54,"Torre Baró",1996,"8.7"
2019,1,8,"Nou Barris",55,"Ciutat Meridiana",7070,"12.8"
2019,1,8,"Nou Barris",56,"Vallbona",893,"11.8"
2019,1,9,"Sant Andreu",57,"la Trinitat Vella",6917,"12.2"
2019,1,9,"Sant Andreu",58,"Baró de Viver",1732,"6.6"
2019,1,9,"Sant Andreu",59,"el Bon Pastor",8481,"7.7"
2019,1,9,"Sant Andreu",60,"Sant Andreu",36844,"7.2"
2019,1,9,"Sant Andreu",61,"la Sagrera",18519,"6.6"
2019,1,9,"Sant Andreu",62,"el Congrés i els Indians",9449,"6.3"
2019,1,9,"Sant Andreu",63,"Navas",14220,"6.4"
2019,1,10,"Sant Martí",64,"el Camp de l'Arpa del Clot",25518,"6.9"
2019,1,10,"Sant Martí",65,"el Clot",18066,"6.7"
2019,1,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",10558,"5.5"
2019,1,10,"Sant Martí",67,"la Vila Olímpica del Poblenou",6474,"6.0"
2019,1,10,"Sant Martí",68,"el Poblenou",22944,"5.8"
2019,1,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",8858,"7.1"
2019,1,10,"Sant Martí",70,"el Besòs i el Maresme",16577,"8.6"
2019,1,10,"Sant Martí",71,"Provençals del Poblenou",14217,"6.7"
2019,1,10,"Sant Martí",72,"Sant Martí de Provençals",16219,"8.1"
2019,1,10,"Sant Martí",73,"la Verneda i la Pau",17577,"8.4"
